employeekey,employeeid,salesperson,title,upn,actual_sales,actual_cost,total_quantity,target_value,target_achievement_pct,variance
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
286,61161660,Pamela Ansman-Wolfe,Sales Representative,pamela-ansman-wolfe@adventureworks.com,,,6987,,,
